Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Móveis e esquadrias Ipirense ,11.111.111/1111-11,Ipira - SC,Tiago,(11)99999-0113,[26/05/2025] - [1659] - Turbo DNA + Edge 7
Móveis e esquadrias Ipirense ,11.111.111/1111-11,Ipira - SC,Tiago,(11)99999-0114,[26/05/2025] - [1659] - Turbo DNA + Edge 7
Douglas Pessoa dos Santos/Denoas Design,11.111.111/1111-11,Gravatai - RS,Douglas,(11)99999-0115,[30/05/2025] - [1648] - ATCL DNA
Douglas Pessoa dos Santos/Denoas Design,11.111.111/1111-11,Gravatai - RS,Douglas,(11)99999-0116,[30/05/2025] - [1648] - ATCL DNA
Olimpo Group Comercial,11.111.111/1111-11,São Paulo - SP,Ruan,(11)99999-0117,[28/05/2025] - [1674] - Edge 6
Olimpo Group Comercial,11.111.111/1111-11,São Paulo - SP,Ruan,(11)99999-0118,[28/05/2025] - [1674] - Edge 6
Casa das Serras (Momplam Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0119,[20/05/2025] - [1629] - Turbo DUO DNA
Casa das Serras (Momplam Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0120,[20/05/2025] - [1629] - Turbo DUO DNA
Casa das Serras (Revelar Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0121,[20/05/2025] - [1631] - Turbo DNA
Casa das Serras (Revelar Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0122,[20/05/2025] - [1631] - Turbo DNA
Murilo Gugia Batista,11.111.111/1111-11,Camboriu - SC,Murilo,(11)99999-0123,[28/05/2025] - [1660] - Turbo DNA
Murilo Gugia Batista,11.111.111/1111-11,Camboriu - SC,Murilo,(11)99999-0124,[28/05/2025] - [1660] - Turbo DNA
Artg Móveis Sob Medida,11.111.111/1111-11,Iomere - SC,Fabricio,(11)99999-0125,[30/05/2025] - [1661] - ATCL DNA
Artg Móveis Sob Medida,11.111.111/1111-11,Iomere - SC,Fabricio,(11)99999-0126,[30/05/2025] - [1661] - ATCL DNA
Irmãos Saczuk Ltda / Exata Móveis,11.111.111/1111-11,Curitiba  - PR,Rafael,(11)99999-0127,[28/05/2025] - [1675] - Turbo DUO DNA
Irmãos Saczuk Ltda / Exata Móveis,11.111.111/1111-11,Curitiba  - PR,Rafael,(11)99999-0128,[28/05/2025] - [1675] - Turbo DUO DNA
Casa das Serras/ BRACASA COM (Drevo Com Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0132,[04/06/2025] - [1666] - Turbo DNA
Casa das Serras/ BRACASA COM (Drevo Com Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0133,[04/06/2025] - [1666] - Turbo DNA
Casa das Serras/ BRACASA (Treead),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0134,[04/06/2025] - [1665] - ATCL DNA
Casa das Serras/ BRACASA (Treead),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0135,[04/06/2025] - [1665] - ATCL DNA
Rodrigo Milanez,11.111.111/1111-11,São Paulo - SP,Rodrigo,(11)99999-0136,[04/06/2025] - [1676] - ATCL DNA
Rodrigo Milanez,11.111.111/1111-11,São Paulo - SP,Rodrigo,(11)99999-0137,[05/06/2025] - [1676] - ATCL DNA
Luiz Sergio Soares Bueno,11.111.111/1111-11,Guaramirim - SC,Luiz,(11)99999-0138,[02/06/2025] - [1668] - Alteração Edge 5 para 6
Boeing / COLOCAR OBSERVAÇÃO REF COMISSÃO,11.111.111/1111-11,Jaragua do sul  - SC,Jucemar,(11)99999-0140,[20/06/2025] - [1682] - Edge 7
Boeing / COLOCAR OBSERVAÇÃO REF COMISSÃO,11.111.111/1111-11,Jaragua do sul  - SC,Jucemar,(11)99999-0141,[20/06/2025] - [1682] - Edge 7
Alosan,11.111.111/1111-11,Uruguay  - -,Santiago,(11)99999-0142,[23/06/2025] - [1705] - Turbo Duo DNA
Móveis Segura ,11.111.111/1111-11,Pinhais  - PR,João,(11)99999-0143,[17/06/2025] - [1716] - Turbo DUO DNA
Móveis Segura ,11.111.111/1111-11,Pinhais  - PR,João,(11)99999-0144,[17/06/2025] - [1716] - Turbo DUO DNA
WR Confecções ,11.111.111/1111-11,São Paulo  - SP,Eduardo,(11)99999-0145,[24/06/2025] - [1715] - Turbo DNA + coletor
WR Confecções ,11.111.111/1111-11,São Paulo  - SP,Eduardo,(11)99999-0146,[24/06/2025] - [1715] - Turbo DNA + coletor
JZ Alves ,11.111.111/1111-11,ITUPEVA - SP,Juliana,(11)99999-0147,[12/06/2025] - [1696] - Elite Super Drill
JZ Alves ,11.111.111/1111-11,ITUPEVA - SP,Juliana,(11)99999-0148,[12/06/2025] - [1696] - Elite Super Drill
Garben Interiores,11.111.111/1111-11,Brasilia  - DF,Moacir,(11)99999-0149,[12/06/2025] - [1692] - ATCL 
Garben Interiores,11.111.111/1111-11,Brasilia  - DF,Moacir,(11)99999-0150,[12/06/2025] - [1692] - ATCL 
Enio Santos Junior,11.111.111/1111-11,Governador Celso Ramos  - SC,Enio,(11)99999-0151,[11/06/2025] - [1691] - Turbo DNA
Enio Santos Junior,11.111.111/1111-11,Governador Celso Ramos  - SC,Enio,(11)99999-0152,[11/06/2025] - [1691] - Turbo DNA
M3 Engenharia,11.111.111/1111-11,São Paulo  - SP,Epitacio,(11)99999-0153,[20/06/2025] - [1732] - Turbo DNA
Juil,11.111.111/1111-11,Massaranduba - SC,Ilson,(11)99999-0154,[18/06/2025] - [1728] - Commander DNA
Juil,11.111.111/1111-11,Massaranduba - SC,Ilson,(11)99999-0155,[18/06/2025] - [1728] - Commander DNA
Guilherme Crautchychyn,11.111.111/1111-11,Três Barras - SC,Guilherme,(11)99999-0156,[20/06/2025] - [1718] - Elite Super Drill
Guilherme Crautchychyn,11.111.111/1111-11,Três Barras - SC,Guilherme,(11)99999-0157,[20/06/2025] - [1718] - Elite Super Drill
Doglas Geronimo Venancio,11.111.111/1111-11,Governador Celso Ramos  - SC,Douglas,(11)99999-0158,[20/06/2025] - [1724] - Turbo DNA
Doglas Geronimo Venancio,11.111.111/1111-11,Governador Celso Ramos  - SC,Douglas,(11)99999-0159,[20/06/2025] - [1724] - Turbo DNA
A.R Comercio de Móveis / Itapelinea,11.111.111/1111-11,Itapema - SC,Rafael,(11)99999-0160,[23/06/2025] - [1707] - Turbo DUO DNA + coletor
A.R Comercio de Móveis / Itapelinea,11.111.111/1111-11,Itapema - SC,Rafael,(11)99999-0161,[23/06/2025] - [1707] - Turbo DUO DNA + coletor
P P Rabelo Junior,11.111.111/1111-11,São Jose do Ribamar - MA,Pedro,(11)99999-0162,[26/06/2025] - [1735] - Edge 5 + Coletor 10CV
Stell Tech Smart,11.111.111/1111-11,Araçatuba - SP,Picollin,(11)99999-0163,[25/06/2025] - [1746] - Turbo DNA
Stell Tech Smart,11.111.111/1111-11,Araçatuba - SP,Picollin,(11)99999-0164,[25/06/2025] - [1746] - Turbo DNA
J P / Unilar Ambientes,11.111.111/1111-11,IAPU - MG,Zezinho,(11)99999-0165,[23/06/2025] - [1725] - Turbo DNA
J P / Unilar Ambientes,11.111.111/1111-11,IAPU - MG,Zezinho,(11)99999-0166,[23/06/2025] - [1725] - Turbo DNA
Supremo Modulados,11.111.111/1111-11,Cachoeiro do Itapemirim - ES,Herculano,(11)99999-0167,[30/06/2025] - [1749] - Turbo DNA + coletor
Supremo Modulados,11.111.111/1111-11,Cachoeiro do Itapemirim - ES,Herculano,(11)99999-0168,[30/06/2025] - [1749] - Turbo DNA + coletor
Geparzza Móveis,11.111.111/1111-11,Franca - SP,Luciano,(11)99999-0169,[30/06/2025] - [1745] - Edge 8 Turbo
Geparzza Móveis,11.111.111/1111-11,Franca - SP,Luciano,(11)99999-0170,[30/06/2025] - [1745] - Edge 8 Turbo
D&M ARTEMOBILI LTDA,11.111.111/1111-11,NOVA BASSANO - RS,Darlei,(11)99999-0171,[25/06/2025] - [1753] - Edge 6
D&M ARTEMOBILI LTDA,11.111.111/1111-11,NOVA BASSANO - RS,Darlei,(11)99999-0172,[25/06/2025] - [1753] - Edge 6
Espaço Casa Fabrica de Móveis,11.111.111/1111-11,ITUIUTABA - MG,Rever,(11)99999-0173,[30/06/2025] - [1751] - Edge 7
Espaço Casa Fabrica de Móveis,11.111.111/1111-11,ITUIUTABA - MG,Rever,(11)99999-0174,[30/06/2025] - [1751] - Edge 7
Jz Alvez Comercio de Móveis,11.111.111/1111-11,Itupeva - SP,Zezinho,(11)99999-0179,[02/07/2025] - [1763] - Edge 5
Jz Alvez Comercio de Móveis,11.111.111/1111-11,Itupeva - SP,Zezinho,(11)99999-0180,[02/07/2025] - [1763] - Edge 5
Guilherme Crautchychyn/ Vantage,11.111.111/1111-11,Três Barras - SC,Guilherme,(11)99999-0181,[04/07/2025] - [1765] - Edge 5
Guilherme Crautchychyn/Vantage,11.111.111/1111-11,Três Barras - SC,Guilherme,(11)99999-0182,[04/07/2025] - [1765] - Edge 5
Katta ,11.111.111/1111-11,COTIA  - SP,-,(11)99999-0183,[04/07/2025] - [1766] - 5 und Lifter
Rosana Pereira da Silva Salto ,11.111.111/1111-11,Salto  - SP,Rosana,(11)99999-0184,[07/07/2025] - [1773] - Edge 8 Turbo + Coletor
Rosana Pereira da Silva Salto ,11.111.111/1111-11,Salto  - SP,Rosana,(11)99999-0185,[07/07/2025] - [1773] - Edge 8 Turbo + Coletor
Alex Cruz & Silva/Thiale Gabriela Gomes de Melo ,11.111.111/1111-11,Diadema - SP,Alex,(11)99999-0186,[07/07/2025] - [1771] - ATCL DNA
Alex Cruz & Silva/Thiale Gabriela Gomes de Melo  ,11.111.111/1111-11,Diadema - SP,Alex,(11)99999-0187,[07/07/2025] - [1771] - ATCL DNA
Guilherme Crautchychyn/Vantage,11.111.111/1111-11,Três Barras - SC,Guilherme,(11)99999-0188,[04/07/2025] - [1718] - Turbo DNA + coletor
Guilherme Crautchychyn/Vantage,11.111.111/1111-11,Três Barras - SC,Guilherme,(11)99999-0189,[04/07/2025] - [1718] - Turbo DNA + coletor
